currency,symbol,instrumentType,timestamp,open,high,low,close,volume
PHP,PSEI.PS,INDEX,2021-03-11 01:30,6782.569824,6782.569824,6705.669922,6719.180176,59000.0
PHP,PSEI.PS,INDEX,2021-03-12 01:30,6734.399902,6749.129883,6693.910156,6728.549805,60800.0
PHP,PSEI.PS,INDEX,2021-03-15 01:30,6694.089844,6694.089844,6489.790039,6552.459961,126900.0
PHP,PSEI.PS,INDEX,2021-03-16 01:30,6529.100098,6610.529785,6519.180176,6559.080078,74800.0
PHP,PSEI.PS,INDEX,2021-03-17 01:30,6574.310059,6593.529785,6548.540039,6566.830078,88600.0
PHP,PSEI.PS,INDEX,2021-03-18 01:30,6581.470215,6675.839844,6577.640137,6630.850098,94200.0
PHP,PSEI.PS,INDEX,2021-03-19 01:30,6628.740234,6638.930176,6436.100098,6436.100098,149900.0
PHP,PSEI.PS,INDEX,2021-03-22 01:30,6381.589844,6444.580078,6325.640137,6395.169922,77100.0
PHP,PSEI.PS,INDEX,2021-03-23 01:30,6381.819824,6446.350098,6381.819824,6446.350098,83600.0
PHP,PSEI.PS,INDEX,2021-03-24 01:30,6427.720215,6497.009766,6393.140137,6497.009766,83800.0
PHP,PSEI.PS,INDEX,2021-03-25 01:30,6498.509766,6603.549805,6498.509766,6581.0,125600.0
PHP,PSEI.PS,INDEX,2021-03-26 01:30,6567.890137,6576.600098,6526.290039,6544.629883,104300.0
PHP,PSEI.PS,INDEX,2021-03-29 01:30,6469.259766,6653.52002,6432.069824,6607.779785,107000.0
PHP,PSEI.PS,INDEX,2021-03-30 01:30,6586.930176,6603.060059,6504.180176,6545.549805,82200.0
PHP,PSEI.PS,INDEX,2021-03-31 01:30,6554.430176,6557.040039,6443.089844,6443.089844,114900.0
PHP,PSEI.PS,INDEX,2021-04-05 01:30,6447.399902,6500.350098,6446.040039,6495.149902,77800.0
PHP,PSEI.PS,INDEX,2021-04-06 01:30,6521.259766,6590.109863,6518.490234,6590.109863,78800.0
PHP,PSEI.PS,INDEX,2021-04-07 01:30,6591.049805,6651.709961,6578.120117,6651.709961,133700.0
PHP,PSEI.PS,INDEX,2021-04-08 01:30,6648.709961,6648.709961,6542.27002,6545.169922,93600.0
PHP,PSEI.PS,INDEX,2021-04-12 01:30,6562.109863,6566.669922,6504.589844,6518.640137,93700.0
PHP,PSEI.PS,INDEX,2021-04-13 01:30,6520.029785,6520.029785,6431.709961,6457.790039,129700.0
PHP,PSEI.PS,INDEX,2021-04-14 01:30,6474.25,6523.209961,6453.259766,6523.209961,117900.0
PHP,PSEI.PS,INDEX,2021-04-15 01:30,6505.129883,6539.959961,6464.490234,6539.959961,140500.0
PHP,PSEI.PS,INDEX,2021-04-16 01:30,6533.560059,6533.560059,6490.680176,6494.810059,85300.0
PHP,PSEI.PS,INDEX,2021-04-19 01:30,6503.77002,6503.77002,6459.759766,6459.759766,131600.0
PHP,PSEI.PS,INDEX,2021-04-20 01:30,6464.649902,6500.419922,6459.439941,6500.419922,105600.0
PHP,PSEI.PS,INDEX,2021-04-21 01:30,6492.52002,6494.779785,6439.390137,6439.390137,140000.0
PHP,PSEI.PS,INDEX,2021-04-22 01:30,6451.22998,6451.649902,6374.330078,6415.529785,146000.0
PHP,PSEI.PS,INDEX,2021-04-23 01:30,6423.299805,6424.549805,6371.430176,6378.069824,125700.0
PHP,PSEI.PS,INDEX,2021-04-26 01:30,6417.77002,6417.77002,6348.560059,6389.379883,107600.0
PHP,PSEI.PS,INDEX,2021-04-27 01:30,6387.149902,6397.740234,6356.470215,6356.470215,139900.0
PHP,PSEI.PS,INDEX,2021-04-28 01:30,6381.740234,6469.140137,6375.290039,6469.140137,139200.0
PHP,PSEI.PS,INDEX,2021-04-29 01:30,6453.259766,6487.509766,6420.939941,6487.509766,118700.0
PHP,PSEI.PS,INDEX,2021-04-30 01:30,6475.609863,6476.109863,6370.870117,6370.870117,116900.0
PHP,PSEI.PS,INDEX,2021-05-03 01:30,6392.970215,6419.52002,6369.279785,6369.279785,77800.0
PHP,PSEI.PS,INDEX,2021-05-04 01:30,6391.830078,6397.189941,6356.140137,6359.149902,90400.0
PHP,PSEI.PS,INDEX,2021-05-05 01:30,6352.549805,6354.810059,6299.689941,6299.689941,109900.0
PHP,PSEI.PS,INDEX,2021-05-06 01:30,6310.370117,6322.169922,6233.330078,6282.779785,107300.0
PHP,PSEI.PS,INDEX,2021-05-07 01:30,6278.700195,6305.990234,6257.5,6258.709961,86900.0
PHP,PSEI.PS,INDEX,2021-05-10 01:30,6279.790039,6321.509766,6279.790039,6317.410156,88700.0
PHP,PSEI.PS,INDEX,2021-05-11 01:30,6298.919922,6341.120117,6281.609863,6326.830078,128700.0
PHP,PSEI.PS,INDEX,2021-05-12 01:30,6310.330078,6310.330078,6221.930176,6236.399902,199300.0
PHP,PSEI.PS,INDEX,2021-05-14 01:30,6262.310059,6269.359863,6080.939941,6269.359863,286100.0
PHP,PSEI.PS,INDEX,2021-05-17 01:30,6226.830078,6283.580078,6188.740234,6283.580078,139300.0
PHP,PSEI.PS,INDEX,2021-05-18 01:30,6230.540039,6258.77002,6210.0,6244.740234,124200.0
PHP,PSEI.PS,INDEX,2021-05-19 01:30,6262.52002,6269.990234,6204.450195,6245.709961,113600.0
PHP,PSEI.PS,INDEX,2021-05-20 01:30,6253.02002,6253.02002,6197.640137,6197.640137,111000.0
PHP,PSEI.PS,INDEX,2021-05-21 01:30,6201.879883,6218.410156,6172.180176,6199.25,115700.0
PHP,PSEI.PS,INDEX,2021-05-24 01:30,6195.870117,6209.049805,6156.200195,6164.890137,165100.0
PHP,PSEI.PS,INDEX,2021-05-25 01:30,6173.25,6203.0,6164.899902,6196.709961,176300.0
PHP,PSEI.PS,INDEX,2021-05-26 01:30,6223.669922,6377.100098,6213.439941,6341.240234,235800.0
PHP,PSEI.PS,INDEX,2021-05-28 01:30,6622.180176,6688.069824,6597.5,6674.509766,301800.0
PHP,PSEI.PS,INDEX,2021-05-31 01:30,6656.879883,6687.640137,6588.040039,6628.490234,122400.0
PHP,PSEI.PS,INDEX,2021-06-01 01:30,6619.02002,6644.819824,6576.640137,6627.430176,79100.0
PHP,PSEI.PS,INDEX,2021-06-02 01:30,6631.720215,6841.689941,6631.720215,6841.689941,226900.0
PHP,PSEI.PS,INDEX,2021-06-03 01:30,6835.240234,6835.240234,6760.189941,6791.870117,138900.0
PHP,PSEI.PS,INDEX,2021-06-04 01:30,6789.029785,6810.759766,6761.910156,6796.339844,110600.0
PHP,PSEI.PS,INDEX,2021-06-07 01:30,6801.359863,6801.359863,6758.089844,6763.919922,88800.0
PHP,PSEI.PS,INDEX,2021-06-08 01:30,6781.040039,6809.720215,6767.339844,6809.720215,83200.0
PHP,PSEI.PS,INDEX,2021-06-09 01:30,6811.459961,6922.870117,6805.0,6902.540039,184100.0
PHP,PSEI.PS,INDEX,2021-06-10 01:30,6923.950195,6925.140137,6872.720215,6875.709961,164100.0
PHP,PSEI.PS,INDEX,2021-06-11 01:30,6890.029785,6910.330078,6872.589844,6907.790039,120700.0
PHP,PSEI.PS,INDEX,2021-06-14 01:30,6898.200195,6917.490234,6871.709961,6917.490234,108300.0
PHP,PSEI.PS,INDEX,2021-06-15 01:30,6908.810059,6976.72998,6893.450195,6976.72998,118000.0
